method,query_id,repeat,latency_ms
bm25,42,2,14.84983297996223
dense,65,2,12.708374997600913
bm25,73,2,8.812040905468166
dense,43,2,13.783874921500683
dense,22,2,12.907000025734305
hybrid,56,2,41.91074997652322
hybrid,38,2,35.71225004270673
bm25,61,2,9.058041963726282
dense,68,2,12.527915998362005
hybrid,41,2,45.46291695442051
hybrid,84,2,67.45604192838073
dense,74,2,12.75258301757276
dense,70,2,12.501124991104007
hybrid,33,2,27.377875056117773
bm25,17,2,6.214292021468282
dense,87,2,12.307791970670223
dense,81,2,11.462833033874631
dense,39,2,12.964417110197246
dense,99,2,12.175457901321352
bm25,94,2,6.322166998870671
dense,25,2,11.819625040516257
bm25,60,2,13.625542051158845
dense,95,2,12.636957922950387
hybrid,15,2,42.43120807223022
hybrid,29,2,32.67016704194248
dense,77,2,11.985084041953087
bm25,57,2,16.985250054858625
dense,17,2,12.467666994780302
dense,98,2,12.632207944989204
hybrid,19,2,46.84700001962483
bm25,47,2,11.722708004526794
